Epoch,PRN,PR_Residual
515,2,75.31785905977775
515,6,82.04282073813853
515,12,77.32473572801523
515,13,71.69618264330927
515,14,59.48469320254485
515,15,66.8967086794739
515,17,62.04990000046085
515,19,78.04404498323817
515,24,85.66363384170681
515,28,67.85329935966902
516,2,73.9425723942196
516,6,77.28706291623499
516,12,82.51955204076457
516,13,74.73804920290723
516,14,78.7839847515555
516,15,74.74384216566094
516,17,76.6834660069698
516,19,83.7195454463638
516,24,80.75327053050331
516,28,81.00673276896528
517,2,114.8238959421769
517,6,119.2583490755436
517,12,120.1674121943763
517,13,113.91620722406401
517,14,119.06455399900638
517,15,107.30452344019328
517,24,123.32290398871993
517,28,129.84557551619005
518,2,116.87049488541295
518,6,110.41811150148364
518,12,114.67940859352545
518,13,118.99457821087698
518,14,118.90578098231805
518,15,115.32855407652468
518,24,114.62903347215544
518,28,125.60947873506166
519,2,107.71966959662338
519,6,96.3574992919132
519,12,109.4697023893003
519,13,119.67666064715131
519,14,106.85771448644141
519,15,115.57738237672392
519,24,100.85849707791573
519,28,110.72172586479516
520,2,87.01455935074787
520,6,76.39938438519094
520,12,93.21909336463776
520,14,86.28193041813192
520,15,100.57718628814855
520,24,82.58339016324021
521,2,94.59083804223063
521,6,83.62189703113468
521,12,100.28830916368818
521,13,109.06951733982382
521,14,95.85110198647358
521,15,108.70930406519557
521,19,83.78217061164312
521,24,88.65657527167716
521,28,94.09260151566622
522,2,46.480489197013185
522,6,24.575078387103716
522,12,50.93300760200191
522,14,30.155374048262452
522,15,91.62197985617605
522,19,28.626787248408597
522,24,48.520280497796556
523,2,39.132888708230965
523,6,22.270400025714252
523,12,44.26085131431274
523,14,18.75389566028688
523,15,72.80866761177404
523,17,20.990147439012585
523,19,24.97886251374123
523,24,41.923036364380614
523,28,22.80041568037634
524,2,58.886761616647846
524,6,57.978433200754736
524,12,80.7282889781946
524,15,74.04784705046772
524,17,62.22396327163693
524,19,71.57215879313668
524,24,74.06121337824656
524,28,60.39999897689688
525,2,52.90421510393146
525,6,55.179799785200146
525,12,74.8415279536265
525,17,53.927137902938725
525,19,63.33555759506425
525,24,67.84872063526744
525,28,57.23480069304524
526,2,57.708350231477624
526,6,64.65943382967167
526,12,61.68173351113556
526,14,70.8407272798396
526,17,80.44457359372893
526,19,79.90717822572013
526,24,62.41477945180872
526,28,79.31564667510683
527,2,56.516005978782715
527,6,67.34926698341741
527,12,57.29870972660811
527,14,73.01660457345426
527,17,79.13826697260554
527,19,80.15046244412227
527,24,58.97343173215175
527,28,78.25739083515728
528,2,92.13364099284348
528,6,106.21177376861547
528,12,97.40905581001037
528,14,105.78976160609606
528,17,109.20633241291249
528,19,113.81514358615652
528,24,102.49593123533887
528,28,115.41788985898536
529,2,105.60956716099734
529,6,120.07440094770624
529,12,110.21595083193577
529,14,124.0624012900016
529,17,128.25904961029056
529,19,130.6319571349677
529,24,114.80398593183779
529,28,132.4279884598375
530,2,102.06455798326031
530,6,109.52873135958775
530,12,108.72726252522223
530,17,137.78046295300277
530,19,129.0353699159249
530,24,108.57863159897863
530,28,135.14031518177478
531,6,90.03312560871493
531,12,93.19244243857187
531,13,96.01887873073613
531,17,108.38922320668925
531,19,106.42841155918269
531,24,101.89469193532258
531,28,113.64143030067419
532,6,102.36654591493316
532,12,105.43034751513814
532,15,103.30336391815504
532,17,122.38299688528862
532,19,119.70947614737098
532,24,109.34897499657123
532,28,124.06399643458143
533,6,106.13542491403855
533,12,111.08000083507497
533,13,101.35262814920713
533,15,104.95158591185024
533,17,122.47594478668644
533,19,121.31323039423255
533,24,113.3227990945062
533,28,121.6300940772908
534,6,110.7639567759033
534,12,115.24009636482894
534,13,104.11996600837553
534,14,117.13191383313085
534,17,123.99128106589335
534,19,124.14094174283272
534,24,116.72072338162137
534,28,122.63511606264673
535,2,113.08468205493527
535,6,115.23380655452053
535,12,120.71830343843422
535,13,106.9943957342608
535,14,117.15359129427513
535,17,123.70926882866813
535,19,127.05385156037114
535,24,119.6853772981477
535,28,124.1230059943013
536,6,119.27750503751453
536,12,125.77624637672781
536,13,109.80451076081016
536,14,120.0396594419366
536,15,109.2619548945694
536,17,124.63907458917079
536,19,130.18433154187147
536,24,125.4899822300431
536,28,127.08372258938323
537,2,105.3308082751737
537,6,106.97148120234412
537,12,114.36969416894053
537,13,102.71070011493012
537,14,110.70022832664253
537,15,102.95226221013303
537,17,116.60423375589903
537,19,118.65095078528515
537,24,113.41782271240922
537,28,115.21331014033608
538,2,100.22711180688717
538,6,102.66532022355813
538,12,112.27734157240619
538,13,96.9615785986385
538,14,106.09229841190145
538,17,111.15362552613657
538,19,114.92154423723969
538,24,109.93258203674472
538,28,109.02222285036743
539,2,112.7942273365363
539,6,115.82078822997153
539,12,127.69034982069317
539,14,118.40917875304669
539,17,125.69346894999306
539,19,129.60607278445116
539,24,125.39850488951419
539,28,124.61338677576877
540,2,106.86683754039942
540,6,110.10595680704375
540,12,125.63248853146574
540,13,104.28309537480862
540,14,110.51407575392852
540,15,105.03446270350027
540,17,117.16770709250649
540,19,121.41188692104254
540,24,120.96714683045256
540,28,117.01930861314865
541,2,70.58216820166824
541,6,64.20845406695187
541,12,80.59941008501616
541,13,81.00934947807289
541,14,63.203795863409816
541,15,95.3156316625649
541,17,71.34783769021081
541,19,83.5917530526088
541,24,88.53728571201654
541,28,73.47255117931175
542,2,100.09076362082574
542,6,104.37046535599634
542,12,119.4426818076164
542,13,100.7272611742833
542,14,109.21774540960111
542,15,105.8738883161867
542,17,120.59942400351731
542,19,121.06878172696202
542,24,116.81587212416511
542,28,114.1041371930039
543,2,109.13441742961928
543,6,112.52804214526371
543,12,128.36391198959714
543,13,106.64335523544855
543,15,108.8484979628519
543,17,122.61425339039485
543,19,126.98583835233615
543,24,124.49121954377358
543,28,119.07195612899156
544,2,101.17690381937959
544,6,96.98204756684935
544,12,107.60937333993891
544,13,106.2349451763581
544,14,98.62307886151713
544,15,112.59207598062957
544,17,105.69999182933931
544,19,108.85749712316017
544,24,109.6885145253426
544,28,110.37148543592572
545,2,115.45665620104234
545,6,112.51591369254376
545,12,117.71170885577396
545,13,116.04876420767782
545,14,109.44311148580573
545,15,116.18585164122146
545,17,112.19521336778212
545,19,117.76430098796014
545,24,120.40071320345656
545,28,112.58784023755989
546,2,96.60282900513168
546,6,92.83096385605046
546,12,95.86657848114004
546,13,96.72764618881887
546,17,89.70948425907622
546,19,98.39008175755554
546,24,102.48765809078355
546,28,88.88967085323716
547,2,92.63995079673478
547,6,91.68296417723862
547,12,96.95526748128907
547,13,90.70171759486914
547,15,94.63219157308382
547,17,88.27024598755256
547,19,101.4252924035422
547,24,103.04586336732726
548,2,107.9449987681392
548,6,110.33335708108311
548,12,118.48735698139993
548,13,102.79310294118736
548,15,104.79624312066731
548,19,119.35021348220664
548,24,121.0313957022691
548,28,106.4108706123282
549,2,111.30513279978452
549,6,113.2046430875447
549,12,125.49861014184897
549,13,100.71592436390908
549,15,104.09635529430099
549,19,121.0924679324655
549,24,130.90547596904347
550,2,105.85832080573513
550,6,110.209776490522
550,12,124.50578220150409
550,14,103.82524574084074
550,19,118.87898248782419
550,24,122.56689297781239
550,28,109.99407723819509
551,2,101.79574017178986
551,6,105.50327997924101
551,12,119.01828538403169
551,19,118.17355679162571
551,24,115.29522625145572
552,2,102.85661128935355
552,6,106.16824997836784
552,12,118.89791427277734
552,13,103.0931148374687
552,19,119.02398927737082
552,24,116.56978143198604
553,2,96.67987629787845
553,6,103.61614136746537
553,12,118.41764892726633
553,13,94.02890514770996
553,17,103.67260364925053
553,19,115.80999556204691
553,24,113.40311145021333
553,28,101.35147192949303
554,2,51.814137300503546
554,6,62.24663703122552
554,12,81.17634600473245
554,17,71.93224175954026
554,19,86.16833154866966
554,24,81.46876517713368
554,28,57.704045327653255
555,2,71.09286357275279
555,6,83.09272478000972
555,12,97.38336737074553
555,13,64.30532940444596
555,17,79.95669188632873
555,19,93.03274049171175
555,24,95.25288111260814
555,28,70.01476386651211
556,2,62.97289387669409
556,6,73.00338674856485
556,12,86.91298354760616
556,13,49.43685445487771
556,17,69.90279608450159
556,19,82.58632864250741
556,24,86.13066993977478
556,28,53.408277323036714
557,2,54.31579993859084
557,6,63.44125199163024
557,12,75.6585175070488
557,13,32.47728850026727
557,14,47.299383459109244
557,17,72.47269317474539
557,19,79.39328519035864
557,24,71.69653614373905
557,28,52.866833559490985
558,2,70.67144955591385
558,6,84.21817391835823
558,12,100.23636062595826
558,13,67.62592380692105
558,17,87.10331537060192
558,19,97.59800752206635
558,24,96.43678332802232
559,2,49.552134276599716
559,6,61.7655122761234
559,12,73.49906321845639
559,13,51.0332246298935
559,19,84.11169868600103
559,24,71.61698692197041
560,2,101.80427027539217
560,6,108.27562569140832
560,12,124.91356312198411
560,13,99.07681746967297
560,17,117.86658192886438
560,19,122.55368345589187
560,24,119.57818427414625
561,2,97.20208127177112
561,6,104.92914525785471
561,12,121.13837009898569
561,13,79.34133049776851
561,17,112.69286051417917
561,19,120.176803934364
561,24,118.04825928618817
562,2,67.23235183783481
562,6,80.22958722512735
562,12,95.43178745468293
562,13,59.06336531481932
562,17,77.46559634586941
562,19,90.5252599420911
562,24,94.48435154142061
563,2,90.31036948525868
563,6,101.49971695452871
563,12,107.78371203306928
563,13,80.79224659341861
563,17,99.83787565242622
563,19,110.35795761081752
563,24,109.33581607153116
563,28,90.5905613011772
564,2,68.55727708893502
564,6,81.36247555112178
564,12,89.65188483399922
564,17,78.44145343876013
564,19,89.10356614812798
564,24,90.75259720049922
565,2,51.222721479701875
565,6,57.07577911931084
565,12,70.57167336481498
565,13,30.610157990181893
565,14,47.47777523902879
565,17,69.46660032955134
565,19,72.70563742396966
565,24,65.4537790238086
565,28,54.10591511708669
566,2,50.2633285695874
566,6,59.16030616279558
566,12,71.18056366322315
566,17,74.10940678038203
566,19,77.44565125696
566,24,64.23445678987852
566,28,57.326589311428044
567,2,53.01246236235883
567,6,64.05277925263496
567,12,72.93717624308056
567,17,71.41844668568478
567,19,76.08107291567633
567,24,73.76123806097804
567,28,51.589939404582765
568,2,52.99245967757045
568,6,64.70521034036534
568,12,68.04530311862027
568,13,31.873455843236687
568,17,72.60652786540768
568,19,75.43139839820083
568,24,69.20099241254044
568,28,52.22952356703488
569,2,58.72268305738085
569,6,69.56811823725347
569,12,66.36154202167933
569,13,34.89258872428039
569,17,82.4866434033209
569,19,84.43646478411927
569,24,69.05684185379931
569,28,62.469328228953046
570,6,87.49127089890146
570,12,100.02604362636919
570,13,70.98303930702495
570,17,92.30330652419326
570,19,100.92365830422754
570,24,97.52599406262115
570,28,82.49092784106057
571,2,82.75675285596552
571,6,94.32558080950605
571,12,106.39493851499964
571,13,82.36822101370562
571,14,97.30349730252513
571,17,103.49525037561834
571,19,107.629042757164
571,24,97.58455037942761
571,28,100.05121227955847
572,2,65.9120222656494
572,6,81.52721796506587
572,12,89.82706773247995
572,14,71.55242427782161
572,17,86.98594331822706
572,19,93.02318371989766
572,24,83.87627684161149
572,28,75.80031500626058
573,2,41.220451141247594
573,6,49.52470903660334
573,12,57.746421891112156
573,13,29.017562260545695
573,14,42.00088749670735
573,17,62.58160044158528
573,19,64.31894270670205
573,24,46.8185299449399
573,28,42.6579297640087
574,2,50.83699111917134
574,6,64.73954199124441
574,12,73.21603755529654
574,17,68.19870797275817
574,19,74.94997584183224
574,24,70.00877923798596
574,28,53.43925196066591
575,2,50.96500326143874
575,6,64.8772556742981
575,12,69.0363529979717
575,13,36.17381300517443
575,19,74.11137888378802
575,24,64.35258109007734
575,28,54.97844099767365
576,2,35.734915745992446
576,6,49.28929126593599
576,12,51.43879788969891
576,19,62.559557023761485
576,24,39.410831711078316
576,28,45.52724857262026
577,2,84.6199384711598
577,6,98.3187765952503
577,12,97.73115908511508
577,17,130.31283485413266
577,19,118.02705807984651
577,24,87.01904870475717
577,28,123.94716234807602
578,2,90.07692548025572
578,6,99.68445434808521
578,12,97.7721429437857
578,13,92.15821687588918
578,14,125.79894504575815
578,17,125.79598747890151
578,19,110.07389848233666
578,24,89.76423699930875
578,28,126.12604039534962
579,2,75.8270198360241
579,6,91.23093720755178
579,12,97.10117142562208
579,14,98.77290651648985
579,17,123.6418017618361
579,19,119.72435052356481
579,24,91.92648004732477
579,28,113.23902100138127
580,2,105.27632293652134
580,6,101.05378431548138
580,12,107.10853365825277
580,13,91.06048122503488
580,14,110.47950987239487
580,15,103.33773647734834
580,17,107.52872875946795
580,19,107.92605875895833
580,24,99.95638750698065
580,28,116.6253113758199
581,2,28.39183754169197
581,6,20.790052923696564
581,12,26.72994140877921
581,13,36.32026393117746
581,17,31.051848140351332
581,19,34.81345979355209
581,24,26.649795775039323
581,28,24.399778945076175
582,2,84.70396689164136
582,6,84.74208415874395
582,12,89.42330652532678
582,14,86.11796767009224
582,15,92.88457696420431
582,17,84.13634852719406
582,19,84.69072265214476
582,24,80.7781381185485
582,28,89.43157892881484
583,2,81.6247363312926
583,6,72.76748210203671
583,12,82.92513534582804
583,13,75.74133088434473
583,17,69.59219730349488
583,19,69.16293315746373
583,24,75.54061427194173
583,28,76.20625192569328
584,2,88.41652866260185
584,6,71.14550512100894
584,12,83.52948726237952
584,14,76.84005481351062
584,15,89.32851563784457
584,17,68.96947414475417
584,19,67.22680661534832
584,24,76.4020984913151
584,28,77.10708708518501
585,2,86.88839390606836
585,6,63.24683307825552
585,12,78.57852896876446
585,13,89.09180562347198
585,14,75.46140812662375
585,15,93.34372035494832
585,17,60.443889257247235
585,19,56.0644949199818
585,24,67.67358771095724
