Epoch,PRN,PR_Residual
121,2,6.771789698230423
121,5,8.422767177833258
121,6,4.568794174232346
121,12,6.6031503235496665
121,19,4.845417598129982
121,24,6.599410684418507
121,25,4.050915936349586
121,29,3.072719737650007
122,2,5.549039711947763
122,5,8.904921092692923
122,6,3.3942444468940596
122,12,4.806927132900449
122,19,4.4132166793798495
122,24,5.004220961851981
122,25,1.169351441515941
122,29,0.8144640270617538
123,2,7.778634757045381
123,5,8.611170296489435
123,6,6.674560008052008
123,12,6.932008276084938
123,19,6.271606097951063
123,24,4.926191668361242
123,25,3.7114601893629073
123,29,1.8854555843923073
124,2,4.236141220492714
124,5,8.450466925984449
124,6,3.3638714765831326
124,12,3.4166441912221064
124,19,4.8681551800137335
124,24,4.244234345734361
124,25,0.06678249634733735
124,29,-0.9191406259656816
125,2,4.762885001505282
125,5,8.363320616364454
125,6,4.0264941943543935
125,12,3.6503727743958114
125,19,4.714344757373173
125,24,4.567762256175156
125,25,0.24051940480403822
125,29,-0.662700833471817
126,2,3.96648606574022
126,5,8.693372044688257
126,6,2.2460157987028984
126,12,3.306533134785691
126,19,3.26256845431032
126,24,4.734149423458406
126,25,-0.08869725154160957
126,29,-0.06573995788426235
127,2,3.834728837769138
127,5,8.625629703521337
127,6,1.7943204441453227
127,12,3.297357333148277
127,19,2.3063146486273665
127,24,4.715491480748187
127,25,-0.13451931565383202
127,29,0.026875460190261435
128,2,17.6991118099036
128,5,15.149053751236645
128,12,17.77277444228632
128,19,13.998748461206795
128,24,12.999042216506
128,25,20.980501323614376
128,29,17.856513040362366
129,2,9.378685250166363
129,5,11.020924295852295
129,6,7.291083549718686
129,12,8.705025334426784
129,19,5.0525724522342665
129,24,7.998341744776951
129,25,6.105311342581388
129,29,6.394640752082576
130,2,13.980228877971982
130,5,14.267546642841467
130,6,11.606143595658322
130,12,13.898617188930004
130,19,8.473807086654427
130,24,12.88203856778109
130,25,12.073674565009306
130,29,11.379537140356256
131,2,4.114367532750345
131,5,10.612438392304208
131,6,-0.6976875581721009
131,12,3.764263454487748
131,19,-0.32338727849421056
131,24,9.291363367706996
131,25,-0.20376469738718228
131,29,2.7628135575911528
132,2,8.829874930117985
132,5,11.16419156238543
132,6,6.6427451490034555
132,12,8.700969333979701
132,19,4.84152454182275
132,24,9.09683873759498
132,25,6.166118244512284
132,29,6.717411363404325
133,2,69.62985447954044
133,5,66.24750383820118
133,6,70.16988188835312
133,12,71.16939666946598
133,19,66.56206753700332
133,24,66.15186281395987
133,25,73.244443126129
133,29,69.90892961220555
134,2,40.19951997503132
134,5,38.85732537081877
134,6,40.90346706226989
134,12,44.69468405603388
134,19,39.795278077371925
134,24,36.91728724328921
134,25,44.83628161859323
134,29,40.33814390161061
135,2,18.40659540975971
135,5,20.78953448869531
135,6,17.671049352337395
135,12,20.221555619551314
135,19,17.04666872275285
135,24,19.229402255500062
135,25,20.603844065859022
135,29,18.462191393085398
136,2,12.317734480512582
136,5,15.643809128254567
136,6,9.485036168931003
136,12,14.596561174487286
136,19,11.18097906831699
136,24,11.533634719137613
136,25,13.199659454472048
136,29,13.28778308278019
137,2,5.760353390564788
137,5,8.678006613071844
137,6,3.625256970108986
137,12,7.121559919057829
137,19,1.554760562962858
137,24,9.296948512380862
137,25,7.640659687902902
137,29,7.5518337644755595
138,2,23.295509892951195
138,5,20.334402176189442
138,6,22.543624647002225
138,12,23.148893050204215
138,19,19.444536974016373
138,24,21.537078341686712
138,25,24.72920489468236
138,29,23.758840934652465
139,2,12.148631700473777
139,5,9.377591448127674
139,6,12.25732918142954
139,12,12.751446095244047
139,19,10.94541206169398
139,24,13.195524695041215
139,25,15.750201373693127
139,29,16.06413886467096
140,2,7.280210619281365
